,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
211,212,2,0.0,35.0,0,0,21.0
811,812,3,1.0,39.0,0,0,24.15
165,166,3,1.0,9.0,0,2,20.525
238,239,2,1.0,19.0,0,0,10.5
188,189,3,1.0,40.0,1,1,15.5
471,472,3,1.0,38.0,0,0,8.6625
553,554,3,1.0,22.0,0,0,7.225
456,457,1,1.0,65.0,0,0,26.55
366,367,1,0.0,60.0,1,0,75.25
592,593,3,1.0,47.0,0,0,7.25
738,739,3,1.0,28.0,0,0,7.8958
155,156,1,1.0,51.0,0,1,61.3792
391,392,3,1.0,21.0,0,0,7.7958
886,887,2,1.0,27.0,0,0,13.0
724,725,1,1.0,27.0,1,0,53.1
453,454,1,1.0,49.0,1,0,89.1042
66,67,2,0.0,29.0,0,0,10.5
841,842,2,1.0,16.0,0,0,10.5
408,409,3,1.0,21.0,0,0,7.775
462,463,1,1.0,47.0,0,0,38.5
268,269,1,0.0,58.0,0,1,153.4625
161,162,2,0.0,40.0,0,0,15.75
363,364,3,1.0,35.0,0,0,7.05
406,407,3,1.0,51.0,0,0,7.75
866,867,2,0.0,27.0,1,0,13.8583
881,882,3,1.0,33.0,0,0,7.8958
618,619,2,0.0,4.0,2,1,39.0
100,101,3,0.0,28.0,0,0,7.8958
722,723,2,1.0,34.0,0,0,13.0
678,679,3,0.0,43.0,1,6,46.9
229,230,3,0.0,28.0,3,1,25.4667
334,335,1,0.0,28.0,1,0,133.65
558,559,1,0.0,39.0,1,1,79.65
669,670,1,0.0,28.0,1,0,52.0
807,808,3,0.0,18.0,0,0,7.775
520,521,1,0.0,30.0,0,0,93.5
816,817,3,0.0,23.0,0,0,7.925
220,221,3,1.0,16.0,0,0,8.05
810,811,3,1.0,26.0,0,0,7.8875
309,310,1,0.0,30.0,0,0,56.9292
688,689,3,1.0,18.0,0,0,7.7958
787,788,3,1.0,8.0,4,1,29.125
15,16,2,0.0,55.0,0,0,16.0
245,246,1,1.0,44.0,2,0,90.0
409,410,3,0.0,28.0,3,1,25.4667
6,7,1,1.0,54.0,0,0,51.8625
452,453,1,1.0,30.0,0,0,27.75
441,442,3,1.0,20.0,0,0,9.5
479,480,3,0.0,2.0,0,1,12.2875
104,105,3,1.0,37.0,2,0,7.925
303,304,2,0.0,28.0,0,0,12.35
650,651,3,1.0,28.0,0,0,7.8958
208,209,3,0.0,16.0,0,0,7.75
302,303,3,1.0,19.0,0,0,0.0
51,52,3,1.0,21.0,0,0,7.8
90,91,3,1.0,29.0,0,0,8.05
354,355,3,1.0,28.0,0,0,7.225
563,564,3,1.0,28.0,0,0,8.05
22,23,3,0.0,15.0,0,0,8.0292
374,375,3,0.0,3.0,3,1,21.075
825,826,3,1.0,28.0,0,0,6.95
218,219,1,0.0,32.0,0,0,76.2917
657,658,3,0.0,32.0,1,1,15.5
422,423,3,1.0,29.0,0,0,7.875
420,421,3,1.0,28.0,0,0,7.8958
460,461,1,1.0,48.0,0,0,26.55
205,206,3,0.0,2.0,0,1,10.4625
529,530,2,1.0,23.0,2,1,11.5
190,191,2,0.0,32.0,0,0,13.0
361,362,2,1.0,29.0,1,0,27.7208
735,736,3,1.0,28.5,0,0,16.1
375,376,1,0.0,28.0,1,0,82.1708
185,186,1,1.0,28.0,0,0,50.0
194,195,1,0.0,44.0,0,0,27.7208
401,402,3,1.0,26.0,0,0,8.05
436,437,3,0.0,21.0,2,2,34.375
583,584,1,1.0,36.0,0,0,40.125
132,133,3,0.0,47.0,1,0,14.5
233,234,3,0.0,5.0,4,2,31.3875
173,174,3,1.0,21.0,0,0,7.925
178,179,2,1.0,30.0,0,0,13.0
313,314,3,1.0,28.0,0,0,7.8958
315,316,3,0.0,26.0,0,0,7.8542
713,714,3,1.0,29.0,0,0,9.4833
859,860,3,1.0,28.0,0,0,7.2292
864,865,2,1.0,24.0,0,0,13.0
206,207,3,1.0,32.0,1,0,15.85
557,558,1,1.0,28.0,0,0,200.0
493,494,1,1.0,71.0,0,0,49.5042
96,97,1,1.0,71.0,0,0,34.6542
527,528,1,1.0,28.0,0,0,200.0
761,762,3,1.0,41.0,0,0,7.125
572,573,1,1.0,36.0,0,0,26.3875
74,75,3,1.0,32.0,0,0,56.4958
89,90,3,1.0,24.0,0,0,8.05
38,39,3,0.0,18.0,2,0,18.0
179,180,3,1.0,36.0,0,0,0.0
506,507,2,0.0,33.0,0,2,26.0
0,1,3,1.0,22.0,1,0,7.25
46,47,3,1.0,28.0,1,0,15.5
171,172,3,1.0,4.0,4,1,29.125
392,393,3,1.0,28.0,2,0,7.925
710,711,1,0.0,24.0,0,0,49.5042
518,519,2,0.0,36.0,1,0,26.0
782,783,1,1.0,29.0,0,0,30.0
107,108,3,1.0,28.0,0,0,7.775
626,627,2,1.0,57.0,0,0,12.35
133,134,2,0.0,29.0,1,0,26.0
806,807,1,1.0,39.0,0,0,0.0
223,224,3,1.0,28.0,0,0,7.8958
603,604,3,1.0,44.0,0,0,8.05
327,328,2,0.0,36.0,0,0,13.0
827,828,2,1.0,1.0,0,2,37.0042
102,103,1,1.0,21.0,0,1,77.2875
625,626,1,1.0,61.0,0,0,32.3208
108,109,3,1.0,38.0,0,0,7.8958
213,214,2,1.0,30.0,0,0,13.0
586,587,2,1.0,47.0,0,0,15.0
499,500,3,1.0,24.0,0,0,7.7958
821,822,3,1.0,27.0,0,0,8.6625
246,247,3,0.0,25.0,0,0,7.775
861,862,2,1.0,21.0,1,0,11.5
546,547,2,0.0,19.0,1,0,26.0
125,126,3,1.0,12.0,1,0,11.2417
135,136,2,1.0,23.0,0,0,15.0458
466,467,2,1.0,28.0,0,0,0.0
640,641,3,1.0,20.0,0,0,7.8542
691,692,3,0.0,4.0,0,1,13.4167
661,662,3,1.0,40.0,0,0,7.225
435,436,1,0.0,14.0,1,2,120.0
365,366,3,1.0,30.0,0,0,7.25
721,722,3,1.0,17.0,1,0,7.0542
224,225,1,1.0,38.0,1,0,90.0
26,27,3,1.0,28.0,0,0,7.225
772,773,2,0.0,57.0,0,0,10.5
571,572,1,0.0,53.0,2,0,51.4792
417,418,2,0.0,18.0,0,2,13.0
497,498,3,1.0,28.0,0,0,15.1
628,629,3,1.0,26.0,0,0,7.8958
765,766,1,0.0,51.0,1,0,77.9583
670,671,2,0.0,40.0,1,1,39.0
3,4,1,0.0,35.0,1,0,53.1
134,135,2,1.0,25.0,0,0,13.0
325,326,1,0.0,36.0,0,0,135.6333
355,356,3,1.0,28.0,0,0,9.5
812,813,2,1.0,35.0,0,0,10.5
186,187,3,0.0,28.0,1,0,15.5
682,683,3,1.0,20.0,0,0,9.225
295,296,1,1.0,28.0,0,0,27.7208
743,744,3,1.0,24.0,1,0,16.1
548,549,3,1.0,33.0,1,1,20.525
385,386,2,1.0,18.0,0,0,73.5
576,577,2,0.0,34.0,0,0,13.0
702,703,3,0.0,18.0,0,1,14.4542
873,874,3,1.0,47.0,0,0,9.0
798,799,3,1.0,30.0,0,0,7.2292
427,428,2,0.0,19.0,0,0,26.0
225,226,3,1.0,22.0,0,0,9.35
729,730,3,0.0,25.0,1,0,7.925
330,331,3,0.0,28.0,2,0,23.25
369,370,1,0.0,24.0,0,0,69.3
605,606,3,1.0,36.0,1,0,15.55
332,333,1,1.0,38.0,0,1,153.4625
339,340,1,1.0,45.0,0,0,35.5
419,420,3,0.0,10.0,0,2,24.15
687,688,3,1.0,19.0,0,0,10.1708
860,861,3,1.0,41.0,2,0,14.1083
737,738,1,1.0,35.0,0,0,200.0
844,845,3,1.0,17.0,0,0,8.6625
454,455,3,1.0,28.0,0,0,8.05
404,405,3,0.0,20.0,0,0,8.6625
415,416,3,0.0,28.0,0,0,8.05
63,64,3,1.0,4.0,3,2,27.9
604,605,1,1.0,35.0,0,0,26.55
888,889,3,0.0,28.0,1,2,23.45
478,479,3,1.0,22.0,0,0,7.5208
360,361,3,1.0,40.0,1,4,27.9
237,238,2,0.0,8.0,0,2,26.25
703,704,3,1.0,25.0,0,0,7.7417
855,856,3,0.0,18.0,0,1,9.35
112,113,3,1.0,22.0,0,0,8.05
884,885,3,1.0,25.0,0,0,7.05
569,570,3,1.0,32.0,0,0,7.8542
126,127,3,1.0,28.0,0,0,7.75
259,260,2,0.0,50.0,0,1,26.0
662,663,1,1.0,47.0,0,0,25.5875
630,631,1,1.0,80.0,0,0,30.0
137,138,1,1.0,37.0,1,0,53.1
7,8,3,1.0,2.0,3,1,21.075
502,503,3,0.0,28.0,0,0,7.6292
759,760,1,0.0,33.0,0,0,86.5
622,623,3,1.0,20.0,1,1,15.7417
853,854,1,0.0,16.0,0,1,39.4
407,408,2,1.0,3.0,1,1,18.75
613,614,3,1.0,28.0,0,0,7.75
353,354,3,1.0,25.0,1,0,17.8
153,154,3,1.0,40.5,0,2,14.5
343,344,2,1.0,25.0,0,0,13.0
789,790,1,1.0,46.0,0,0,79.2
790,791,3,1.0,28.0,0,0,7.75
733,734,2,1.0,23.0,0,0,13.0
56,57,2,0.0,21.0,0,0,10.5
400,401,3,1.0,39.0,0,0,7.925
473,474,2,0.0,23.0,0,0,13.7917
468,469,3,1.0,28.0,0,0,7.725
795,796,2,1.0,39.0,0,0,13.0
593,594,3,0.0,28.0,0,2,7.75
504,505,1,0.0,16.0,0,0,86.5
568,569,3,1.0,28.0,0,0,7.2292
577,578,1,0.0,39.0,1,0,55.9
300,301,3,0.0,28.0,0,0,7.75
716,717,1,0.0,38.0,0,0,200.0
590,591,3,1.0,35.0,0,0,7.125
163,164,3,1.0,17.0,0,0,8.6625
336,337,1,1.0,29.0,1,0,66.6
59,60,3,1.0,11.0,5,2,46.9
730,731,1,0.0,29.0,0,0,200.0
828,829,3,1.0,28.0,0,0,7.75
490,491,3,1.0,28.0,1,0,19.9667
767,768,3,0.0,30.5,0,0,7.75
449,450,1,1.0,52.0,0,0,30.5
624,625,3,1.0,21.0,0,0,16.1
437,438,2,0.0,24.0,2,3,18.75
641,642,1,0.0,24.0,0,0,69.3
793,794,1,1.0,28.0,0,0,30.6958
219,220,2,1.0,30.0,0,0,10.5
602,603,1,1.0,28.0,0,0,42.4
282,283,3,1.0,16.0,0,0,9.5
348,349,3,1.0,3.0,1,1,15.9
608,609,2,0.0,22.0,1,2,41.5792
4,5,3,1.0,35.0,0,0,8.05
717,718,2,0.0,27.0,0,0,10.5
463,464,2,1.0,48.0,0,0,13.0
689,690,1,0.0,15.0,0,1,200.0
584,585,3,1.0,28.0,0,0,8.7125
781,782,1,0.0,17.0,1,0,57.0
517,518,3,1.0,28.0,0,0,24.15
794,795,3,1.0,25.0,0,0,7.8958
534,535,3,0.0,30.0,0,0,8.6625
831,832,2,1.0,0.83,1,1,18.75
276,277,3,0.0,45.0,0,0,7.75
284,285,1,1.0,28.0,0,0,26.0
470,471,3,1.0,28.0,0,0,7.25
426,427,2,0.0,28.0,1,0,26.0
281,282,3,1.0,28.0,0,0,7.8542
120,121,2,1.0,21.0,2,0,73.5
872,873,1,1.0,33.0,0,0,5.0
13,14,3,1.0,39.0,1,5,31.275
582,583,2,1.0,54.0,0,0,26.0
455,456,3,1.0,29.0,0,0,7.8958
856,857,1,0.0,45.0,1,1,164.8667
160,161,3,1.0,44.0,0,1,16.1
868,869,3,1.0,28.0,0,0,9.5
601,602,3,1.0,28.0,0,0,7.8958
636,637,3,1.0,32.0,0,0,7.925
664,665,3,1.0,20.0,1,0,7.925
195,196,1,0.0,58.0,0,0,146.5208
191,192,2,1.0,19.0,0,0,13.0
536,537,1,1.0,45.0,0,0,26.55
164,165,3,1.0,1.0,4,1,39.6875
106,107,3,0.0,21.0,0,0,7.65
16,17,3,1.0,2.0,4,1,29.125
575,576,3,1.0,19.0,0,0,14.5
805,806,3,1.0,31.0,0,0,7.775
540,541,1,0.0,36.0,0,2,71.0
329,330,1,0.0,16.0,0,1,57.9792
480,481,3,1.0,9.0,5,2,46.9
498,499,1,0.0,25.0,1,2,151.55
801,802,2,0.0,31.0,1,1,26.25
405,406,2,1.0,34.0,1,0,21.0
665,666,2,1.0,32.0,2,0,73.5
93,94,3,1.0,26.0,1,2,20.575
433,434,3,1.0,17.0,0,0,7.125
83,84,1,1.0,28.0,0,0,47.1
749,750,3,1.0,31.0,0,0,7.75
692,693,3,1.0,28.0,0,0,56.4958
414,415,3,1.0,44.0,0,0,7.925
869,870,3,1.0,4.0,1,1,11.1333
651,652,2,0.0,18.0,0,1,23.0
649,650,3,0.0,23.0,0,0,7.55
809,810,1,0.0,33.0,1,0,53.1
322,323,2,0.0,30.0,0,0,12.35
556,557,1,0.0,48.0,1,0,39.6
357,358,2,0.0,38.0,0,0,13.0
69,70,3,1.0,26.0,2,0,8.6625
514,515,3,1.0,24.0,0,0,7.4958
509,510,3,1.0,26.0,0,0,56.4958
340,341,2,1.0,2.0,1,1,26.0
221,222,2,1.0,27.0,0,0,13.0
824,825,3,1.0,2.0,4,1,39.6875
146,147,3,1.0,27.0,0,0,7.7958
289,290,3,0.0,22.0,0,0,7.75
29,30,3,1.0,28.0,0,0,7.8958
114,115,3,0.0,17.0,0,0,14.4583
508,509,3,1.0,28.0,0,0,22.525
792,793,3,0.0,28.0,8,2,69.55
863,864,3,0.0,28.0,8,2,69.55
176,177,3,1.0,28.0,3,1,25.4667
168,169,1,1.0,28.0,0,0,25.925
347,348,3,0.0,28.0,1,0,16.1
376,377,3,0.0,22.0,0,0,7.25
679,680,1,1.0,36.0,0,1,200.0
775,776,3,1.0,18.0,0,0,7.75
757,758,2,1.0,18.0,0,0,11.5
685,686,2,1.0,25.0,1,2,41.5792
189,190,3,1.0,36.0,0,0,7.8958
136,137,1,0.0,19.0,0,2,26.2833
446,447,2,0.0,13.0,0,1,19.5
746,747,3,1.0,16.0,1,1,20.25
254,255,3,0.0,41.0,0,2,20.2125
783,784,3,1.0,28.0,1,2,23.45
290,291,1,0.0,26.0,0,0,78.85
834,835,3,1.0,18.0,0,0,8.3
751,752,3,1.0,6.0,0,1,12.475
232,233,2,1.0,59.0,0,0,13.5
645,646,1,1.0,48.0,1,0,76.7292
33,34,2,1.0,66.0,0,0,10.5
88,89,1,0.0,23.0,3,2,200.0
44,45,3,0.0,19.0,0,0,7.8792
341,342,1,0.0,24.0,3,2,200.0
61,62,1,0.0,38.0,0,0,80.0
846,847,3,1.0,28.0,8,2,69.55
199,200,2,0.0,24.0,0,0,13.0
429,430,3,1.0,32.0,0,0,8.05
667,668,3,1.0,28.0,0,0,7.775
394,395,3,0.0,24.0,0,2,16.7
297,298,1,0.0,2.0,1,2,151.55
73,74,3,1.0,26.0,1,0,14.4542
393,394,1,0.0,23.0,1,0,113.275
547,548,2,1.0,28.0,0,0,13.8625
579,580,3,1.0,32.0,0,0,7.925
541,542,3,0.0,9.0,4,2,31.275
758,759,3,1.0,34.0,0,0,8.05
741,742,1,1.0,36.0,1,0,78.85
747,748,2,0.0,30.0,0,0,13.0
663,664,3,1.0,36.0,0,0,7.4958
217,218,2,1.0,42.0,1,0,27.0
539,540,1,0.0,22.0,0,2,49.5
736,737,3,0.0,48.0,1,3,34.375
623,624,3,1.0,21.0,0,0,7.8542
668,669,3,1.0,43.0,0,0,8.05
732,733,2,1.0,28.0,0,0,0.0
421,422,3,1.0,21.0,0,0,7.7333
138,139,3,1.0,16.0,0,0,9.2167
212,213,3,1.0,22.0,0,0,7.25
616,617,3,1.0,34.0,1,1,14.4
748,749,1,1.0,19.0,1,0,53.1
745,746,1,1.0,70.0,1,1,71.0
770,771,3,1.0,24.0,0,0,9.5
814,815,3,1.0,30.5,0,0,8.05
234,235,2,1.0,24.0,0,0,10.5
67,68,3,1.0,19.0,0,0,8.1583
24,25,3,0.0,8.0,3,1,21.075
381,382,3,0.0,1.0,0,2,15.7417
216,217,3,0.0,27.0,0,0,7.925
129,130,3,1.0,45.0,0,0,6.975
349,350,3,1.0,42.0,0,0,8.6625
111,112,3,0.0,14.5,1,0,14.4542
166,167,1,0.0,28.0,0,1,55.0
207,208,3,1.0,26.0,0,0,18.7875
438,439,1,1.0,64.0,1,4,200.0
552,553,3,1.0,28.0,0,0,7.8292
274,275,3,0.0,28.0,0,0,7.75
879,880,1,0.0,56.0,0,1,83.1583
591,592,1,0.0,52.0,1,0,78.2667
711,712,1,1.0,28.0,0,0,26.55
525,526,3,1.0,40.5,0,0,7.75
287,288,3,1.0,22.0,0,0,7.8958
469,470,3,0.0,0.75,2,1,19.2583
326,327,3,1.0,61.0,0,0,6.2375
121,122,3,1.0,28.0,0,0,8.05
507,508,1,1.0,28.0,0,0,26.55
228,229,2,1.0,18.0,0,0,13.0
673,674,2,1.0,31.0,0,0,13.0
595,596,3,1.0,36.0,1,1,24.15
445,446,1,1.0,4.0,0,2,81.8583
117,118,2,1.0,29.0,1,0,21.0
464,465,3,1.0,28.0,0,0,8.05
25,26,3,0.0,38.0,1,5,31.3875
110,111,1,1.0,47.0,0,0,52.0
149,150,2,1.0,42.0,0,0,13.0
152,153,3,1.0,55.5,0,0,8.05
528,529,3,1.0,39.0,0,0,7.925
696,697,3,1.0,44.0,0,0,8.05
621,622,1,1.0,42.0,1,0,52.5542
461,462,3,1.0,34.0,0,0,8.05
598,599,3,1.0,28.0,0,0,7.225
139,140,1,1.0,24.0,0,0,79.2
260,261,3,1.0,28.0,0,0,7.75
323,324,2,0.0,22.0,1,1,29.0
865,866,2,0.0,42.0,0,0,13.0
248,249,1,1.0,37.0,1,1,52.5542
450,451,2,1.0,36.0,1,2,27.75
410,411,3,1.0,28.0,0,0,7.8958
607,608,1,1.0,27.0,0,0,30.5
19,20,3,0.0,28.0,0,0,7.225
328,329,3,0.0,31.0,1,1,20.525
296,297,3,1.0,23.5,0,0,7.2292
269,270,1,0.0,35.0,0,0,135.6333
226,227,2,1.0,19.0,0,0,10.5
94,95,3,1.0,59.0,0,0,7.25
515,516,1,1.0,47.0,0,0,34.0208
637,638,2,1.0,31.0,1,1,26.25
280,281,3,1.0,65.0,0,0,7.75
286,287,3,1.0,30.0,0,0,9.5
589,590,3,1.0,28.0,0,0,8.05
826,827,3,1.0,28.0,0,0,56.4958
444,445,3,1.0,28.0,0,0,8.1125
184,185,3,0.0,4.0,0,2,22.025
371,372,3,1.0,18.0,1,0,6.4958
776,777,3,1.0,28.0,0,0,7.75
867,868,1,1.0,31.0,0,0,50.4958
275,276,1,0.0,63.0,1,0,77.9583
829,830,1,0.0,62.0,0,0,80.0
182,183,3,1.0,9.0,4,2,31.3875
32,33,3,0.0,28.0,0,0,7.75
80,81,3,1.0,22.0,0,0,9.0
307,308,1,0.0,17.0,1,0,108.9
11,12,1,0.0,58.0,0,0,26.55
43,44,2,0.0,3.0,1,2,41.5792
86,87,3,1.0,16.0,1,3,34.375
36,37,3,1.0,28.0,0,0,7.2292
871,872,1,0.0,47.0,1,1,52.5542
58,59,2,0.0,5.0,1,2,27.75
41,42,2,0.0,27.0,1,0,21.0
411,412,3,1.0,28.0,0,0,6.8583
562,563,2,1.0,28.0,0,0,13.5
209,210,1,1.0,40.0,0,0,31.0
148,149,2,1.0,36.5,0,2,26.0
739,740,3,1.0,28.0,0,0,7.8958
594,595,2,1.0,37.0,1,0,26.0
123,124,2,0.0,32.5,0,0,13.0
734,735,2,1.0,23.0,0,0,13.0
574,575,3,1.0,16.0,0,0,8.05
98,99,2,0.0,34.0,0,1,23.0
377,378,1,1.0,27.0,0,2,200.0
130,131,3,1.0,33.0,0,0,7.8958
699,700,3,1.0,42.0,0,0,7.65
23,24,1,1.0,28.0,0,0,35.5
773,774,3,1.0,28.0,0,0,7.225
555,556,1,1.0,62.0,0,0,26.55
370,371,1,1.0,25.0,1,0,55.4417
512,513,1,1.0,36.0,0,0,26.2875
383,384,1,0.0,35.0,1,0,52.0
201,202,3,1.0,28.0,8,2,69.55
368,369,3,0.0,28.0,0,0,7.75
554,555,3,0.0,22.0,0,0,7.775
610,611,3,0.0,39.0,1,5,31.275
387,388,2,0.0,36.0,0,0,13.0
292,293,2,1.0,36.0,0,0,12.875
690,691,1,1.0,31.0,1,0,57.0
256,257,1,0.0,28.0,0,0,79.2
606,607,3,1.0,30.0,0,0,7.8958
197,198,3,1.0,42.0,0,1,8.4042
95,96,3,1.0,28.0,0,0,8.05
854,855,2,0.0,44.0,1,0,26.0
836,837,3,1.0,21.0,0,0,8.6625
169,170,3,1.0,28.0,0,0,56.4958
581,582,1,0.0,39.0,1,1,110.8833
305,306,1,1.0,0.92,1,2,151.55
560,561,3,1.0,28.0,0,0,7.75
373,374,1,1.0,22.0,0,0,135.6333
719,720,3,1.0,33.0,0,0,7.775
791,792,2,1.0,16.0,0,0,26.0
227,228,3,1.0,20.5,0,0,7.25
660,661,1,1.0,50.0,2,0,133.65
143,144,3,1.0,19.0,0,0,6.75
180,181,3,0.0,28.0,8,2,69.55
131,132,3,1.0,20.0,0,0,7.05
842,843,1,0.0,30.0,0,0,31.0
47,48,3,0.0,28.0,0,0,7.75
774,775,2,0.0,54.0,1,3,23.0
324,325,3,1.0,28.0,8,2,69.55
203,204,3,1.0,45.5,0,0,7.225
84,85,2,0.0,17.0,0,0,10.5
633,634,1,1.0,28.0,0,0,0.0
565,566,3,1.0,24.0,2,0,24.15
611,612,3,1.0,28.0,0,0,7.05
398,399,2,1.0,23.0,0,0,10.5
91,92,3,1.0,20.0,0,0,7.8542
82,83,3,0.0,28.0,0,0,7.7875
430,431,1,1.0,28.0,0,0,26.55
779,780,1,0.0,43.0,0,1,200.0
119,120,3,0.0,2.0,4,2,31.275
291,292,1,0.0,19.0,1,0,91.0792
57,58,3,1.0,28.5,0,0,7.2292
321,322,3,1.0,27.0,0,0,7.8958
257,258,1,0.0,30.0,0,0,86.5
840,841,3,1.0,20.0,0,0,7.925
442,443,3,1.0,25.0,1,0,7.775
42,43,3,1.0,28.0,0,0,7.8958
617,618,3,0.0,26.0,1,0,16.1
388,389,3,1.0,28.0,0,0,7.7292
335,336,3,1.0,28.0,0,0,7.8958
273,274,1,1.0,37.0,0,1,29.7
756,757,3,1.0,28.0,0,0,7.7958
488,489,3,1.0,30.0,0,0,8.05
550,551,1,1.0,17.0,0,2,110.8833
53,54,2,0.0,29.0,1,0,26.0
830,831,3,0.0,15.0,1,0,14.4542
128,129,3,0.0,28.0,1,1,22.3583
802,803,1,1.0,11.0,1,2,120.0
28,29,3,0.0,28.0,0,0,7.8792
183,184,2,1.0,1.0,2,1,39.0
459,460,3,1.0,28.0,0,0,7.75
510,511,3,1.0,29.0,0,0,7.75
675,676,3,1.0,18.0,0,0,7.775
151,152,1,0.0,22.0,1,0,66.6
244,245,3,1.0,30.0,0,0,7.225
714,715,2,1.0,52.0,0,0,13.0
543,544,2,1.0,32.0,1,0,26.0
544,545,1,1.0,50.0,1,0,106.425
639,640,3,1.0,28.0,1,0,16.1
697,698,3,0.0,28.0,0,0,7.7333
265,266,2,1.0,36.0,0,0,10.5
288,289,2,1.0,42.0,0,0,13.0
423,424,3,0.0,28.0,1,1,14.4
